Epoch   E(m)   N(m)   U(m)
118 -4530163.8984 3660551.8672 -104229119579961.0625
119 -4530158.2109 3660551.5977 -104229119579952.0312
120 -4530154.9141 3660548.9219 -104229119579945.7188
121 -4530163.0469 3660551.3770 -104229119579943.5625
122 -4530169.3438 3660558.6738 -104229119579947.7031
123 -4530168.7969 3660558.5156 -104229119579950.4375
124 -4530176.2109 3660555.0508 -104229119579952.0000
125 -4530177.0859 3660545.8926 -104229119579955.1562
126 -4530177.7500 3660562.3496 -104229119579962.0625
127 -4530171.2500 3660553.7246 -104229119579953.9531
128 -4530161.1562 3660566.2793 -104229119579957.6562
129 -4530179.7109 3660574.4414 -104229119579969.9062
130 -4530178.0234 3660573.4824 -104229119579969.5938
131 -4530181.5938 3660582.2324 -104229119579974.6875
132 -4530174.8984 3660566.1777 -104229119579943.4375
133 -4530188.7969 3660579.2598 -104229119579967.4219
134 -4530165.1875 3660596.8906 -104229119579956.3438
135 -4530157.4375 3660594.7090 -104229119579946.9219
136 -4530159.8750 3660598.7207 -104229119579952.6406
137 -4530167.4922 3660598.6934 -104229119579963.4688
138 -4530171.2656 3660601.6211 -104229119579969.7344
139 -4530152.4062 3660597.0801 -104229119579953.0000
140 -4530139.9062 3660588.3730 -104229119579943.3594
141 -4530163.7891 3660584.4336 -104229119579958.7812
142 -4530160.7969 3660582.7188 -104229119579946.3125
143 -4530156.7109 3660574.8633 -104229119579945.3125
144 -4530163.9531 3660598.6074 -104229119579960.5000
145 -4530171.6328 3660590.7207 -104229119579972.6250
146 -4530171.2344 3660600.0137 -104229119579965.5000
147 -4530171.8516 3660588.2617 -104229119579976.8125
148 -4530176.0859 3660592.8496 -104229119579979.1094
149 -4530165.6094 3660601.9004 -104229119579970.4375
150 -4530166.4141 3660603.0762 -104229119579970.4062
151 -4530165.6953 3660598.5234 -104229119579968.8438
152 -4530169.8672 3660610.1719 -104229119579970.5625
153 -4530162.7109 3660615.5137 -104229119579963.1406
154 -4530169.0703 3660613.3672 -104229119579972.8125
155 -4530180.0391 3660607.2793 -104229119579980.0625
156 -4530146.6641 3660588.5684 -104229119579976.1875
157 -4530147.5703 3660582.0527 -104229119579973.0000
158 -4530139.1016 3660580.6035 -104229119579979.9062
159 -4530137.8594 3660583.6348 -104229119579973.2031
160 -4530157.7812 3660592.2520 -104229119580010.2188
161 -4530142.5391 3660584.4414 -104229119580000.4375
162 -4530139.5234 3660593.0742 -104229119579990.4375
163 -4530135.1016 3660583.5918 -104229119579991.1094
164 -4530139.6953 3660583.4316 -104229119579995.9531
165 -4530141.8672 3660585.1387 -104229119579990.7031
166 -4530137.1797 3660589.7168 -104229119579989.5625
167 -4530132.6328 3660592.1875 -104229119579987.3438
168 -4530137.6250 3660589.5391 -104229119579997.7500
169 -4530148.9219 3660597.3320 -104229119580006.0625
170 -4530140.8359 3660597.6074 -104229119579999.5625
171 -4530138.6328 3660589.8730 -104229119579996.8438
172 -4530136.7109 3660591.4805 -104229119579996.9531
173 -4530134.7969 3660590.1523 -104229119579995.8594
174 -4530136.7891 3660599.9082 -104229119579992.2500
175 -4530148.1406 3660593.6426 -104229119580012.0938
176 -4530135.6094 3660597.0586 -104229119580001.9062
177 -4530121.6172 3660596.9551 -104229119579990.4062
178 -4530139.4609 3660607.5293 -104229119579996.0156
179 -4530139.9219 3660607.0156 -104229119579996.0625
180 -4530153.8516 3660606.3613 -104229119580014.0938
181 -4530132.7109 3660595.3379 -104229119580003.6875
182 -4530142.8438 3660605.2188 -104229119580010.2500
183 -4530142.8281 3660607.5742 -104229119580010.2344
184 -4530150.8359 3660603.0977 -104229119580012.6094
185 -4530165.7656 3660609.3887 -104229119580029.5000
186 -4530153.9297 3660605.3613 -104229119580017.5625
187 -4530162.2656 3660613.3496 -104229119580024.7656
188 -4530194.1797 3660619.9629 -104229119580029.1406
189 -4530148.9531 3660609.2031 -104229119580015.3906
190 -4530139.2500 3660607.5254 -104229119580006.0938
191 -4530148.5234 3660611.7949 -104229119580012.9688
192 -4530138.2812 3660611.3203 -104229119580004.3125
193 -4530119.2422 3660601.5547 -104229119580006.1719
194 -4530121.0156 3660603.9473 -104229119580006.0156
195 -4530117.3281 3660604.6133 -104229119580004.4062
196 -4530115.4297 3660606.8594 -104229119580002.2500
197 -4530131.4766 3660615.6895 -104229119580009.1875
198 -4530104.6719 3660605.1152 -104229119580001.2031
199 -4530090.6875 3660600.6055 -104229119579989.5000
200 -4530077.9141 3660593.5488 -104229119579987.0625
201 -4530087.7031 3660599.2207 -104229119579989.3125
202 -4530100.9453 3660617.0156 -104229119579986.2500
203 -4530074.7109 3660597.5957 -104229119579980.1562
204 -4530081.8203 3660606.8398 -104229119579980.5312
205 -4530106.9766 3660612.7910 -104229119579995.5625
206 -4530166.4531 3660662.1875 -104229119580070.9531
207 -4530149.8203 3660657.9941 -104229119580066.7188
208 -4530140.8984 3660655.6777 -104229119580061.3906
209 -4530141.5859 3660657.7148 -104229119580069.4375
210 -4530146.5156 3660661.4980 -104229119580066.5625
211 -4530136.9297 3660652.4570 -104229119580069.0781
212 -4530139.1953 3660660.5234 -104229119580067.6719
213 -4530138.0391 3660668.6777 -104229119580067.9688
214 -4530139.8516 3660672.8438 -104229119580067.4531
215 -4530140.0859 3660669.7285 -104229119580071.1875
216 -4530139.1406 3660672.3574 -104229119580067.0938
217 -4530144.6250 3660680.1836 -104229119580071.8438
218 -4530143.5156 3660685.0410 -104229119580068.5625
219 -4530141.5625 3660685.2656 -104229119580071.8594
220 -4530140.2031 3660682.9180 -104229119580073.0000
221 -4530152.2891 3660684.3477 -104229119580077.5469
222 -4530129.6562 3660681.7148 -104229119580073.0625
223 -4530126.9297 3660680.2617 -104229119580083.6562
224 -4530131.3750 3660688.6055 -104229119580089.1094
225 -4530153.4062 3660717.1113 -104229119580076.6562
226 -4530134.8516 3660696.1797 -104229119580087.0469
227 -4530121.8125 3660686.4941 -104229119580079.0625
228 -4530121.6484 3660687.5430 -104229119580079.2969
229 -4530115.5000 3660684.8652 -104229119580068.6562
230 -4530115.4766 3660687.2930 -104229119580064.3906
231 -4530112.5078 3660682.7285 -104229119580064.5938
232 -4530109.1250 3660678.4512 -104229119580068.0625
233 -4530110.8984 3660680.7227 -104229119580061.9219
234 -4530111.3438 3660677.7734 -104229119580059.6875
235 -4530139.6562 3660706.5879 -104229119580064.2188
236 -4530104.7578 3660674.8906 -104229119580055.4531
237 -4530098.4531 3660674.0508 -104229119580047.2031
238 -4530095.1797 3660669.1426 -104229119580040.5938
239 -4530092.6953 3660663.5547 -104229119580040.9062
240 -4530087.7578 3660661.3281 -104229119580036.3125
241 -4530080.1641 3660655.2227 -104229119580036.3438
242 -4530082.2578 3660657.2559 -104229119580038.3750
243 -4530074.1328 3660650.4863 -104229119580029.4375
244 -4530074.0469 3660652.3359 -104229119580029.4062
245 -4530066.6797 3660652.3438 -104229119580022.9062
246 -4530065.8672 3660651.4688 -104229119580025.0625
247 -4530062.9297 3660650.1270 -104229119580031.8125
248 -4530072.6016 3660660.6582 -104229119580033.9219
249 -4530064.5156 3660652.2266 -104229119580024.7031
250 -4530064.3047 3660651.4141 -104229119580031.0000
251 -4530072.5469 3660662.0410 -104229119580037.3281
252 -4530064.8750 3660654.0273 -104229119580034.1875
253 -4530063.7344 3660655.4688 -104229119580035.3594
254 -4530064.0938 3660657.9082 -104229119580035.8125
255 -4530241.2266 3660789.9980 -104229119580130.9844
256 -4530198.5703 3660795.2520 -104229119580144.9062
257 -4530181.5703 3660775.8672 -104229119580151.5469
258 -4530188.1016 3660793.9473 -104229119580145.3281
259 -4530186.6797 3660803.0137 -104229119580141.2188
260 -4530193.3828 3660808.4414 -104229119580146.3594
261 -4530201.8984 3660814.1680 -104229119580141.9688
262 -4530210.0469 3660820.4043 -104229119580140.8438
263 -4530227.7109 3660839.2012 -104229119580132.9844
264 -4530201.2578 3660819.5781 -104229119580137.3281
265 -4530221.1172 3660833.8555 -104229119580125.5312
266 -4530170.6172 3660761.0527 -104229119580101.7500
267 -4530163.6172 3660754.5938 -104229119580097.5938
268 -4530143.8438 3660736.7637 -104229119580095.5625
269 -4530152.0156 3660738.9355 -104229119580092.0000
270 -4530153.4766 3660744.0996 -104229119580090.6875
271 -4530150.7734 3660734.8848 -104229119580099.5000
272 -4530137.3047 3660736.8965 -104229119580084.2969
273 -4530151.0859 3660745.4414 -104229119580097.5000
274 -4530149.3672 3660743.7129 -104229119580090.6406
275 -4530131.0703 3660727.7012 -104229119580082.7500
276 -4530148.9141 3660737.1348 -104229119580090.5000
277 -4530159.0000 3660742.3770 -104229119580094.5156
278 -4530162.9609 3660743.6895 -104229119580098.2812
279 -4530153.1875 3660731.9844 -104229119580101.3750
280 -4530146.0938 3660728.9141 -104229119580103.9375
281 -4530156.5000 3660737.7969 -104229119580104.4375
282 -4530162.0859 3660741.6445 -104229119580103.9844
283 -4530158.8203 3660741.4160 -104229119580107.4531
284 -4530147.5156 3660735.6738 -104229119580099.9062
285 -4530160.0078 3660744.9258 -104229119580109.8906
286 -4530148.9766 3660733.7129 -104229119580114.4219
287 -4530157.4688 3660748.2578 -104229119580110.9375
288 -4530149.5547 3660739.3574 -104229119580109.5625
289 -4530136.8281 3660730.0879 -104229119580100.1875
290 -4530146.9609 3660735.6270 -104229119580107.4375
291 -4530139.0234 3660724.2969 -104229119580107.8594
292 -4530133.7344 3660719.1309 -104229119580101.9375
293 -4530104.6250 3660705.1641 -104229119580080.9531
294 -4530096.9922 3660703.3105 -104229119580075.4219
295 -4530089.3750 3660696.2715 -104229119580078.7031
296 -4530080.5859 3660693.3945 -104229119580074.0781
297 -4530074.7422 3660685.6562 -104229119580078.5000
298 -4530078.5312 3660690.7070 -104229119580076.0781
299 -4530072.8047 3660686.0449 -104229119580082.0625
300 -4530072.5547 3660688.2344 -104229119580079.9844
301 -4530078.0156 3660688.1445 -104229119580093.1562
302 -4530080.1719 3660683.3047 -104229119580090.0625
303 -4530079.2734 3660691.8145 -104229119580091.2500
304 -4530091.4531 3660698.9980 -104229119580099.9375
305 -4530090.8125 3660700.9961 -104229119580101.5469
306 -4530092.7812 3660703.8555 -104229119580100.7188
307 -4530082.2188 3660700.4258 -104229119580095.4219
308 -4530098.5156 3660705.0879 -104229119580095.3906
309 -4530071.8281 3660691.7266 -104229119580088.8281
310 -4530084.3984 3660697.9922 -104229119580092.9375
311 -4530076.2188 3660694.9902 -104229119580090.0156
312 -4530072.7422 3660694.1914 -104229119580086.8750
313 -4530075.9141 3660695.5918 -104229119580088.7969
314 -4530077.2891 3660693.0176 -104229119580094.4844
315 -4530083.7812 3660696.5742 -104229119580100.1406
316 -4530084.7344 3660694.5488 -104229119580100.6562
317 -4530085.5078 3660695.3066 -104229119580101.2344
318 -4530086.4922 3660694.9336 -104229119580101.6875
319 -4530090.9062 3660699.5059 -104229119580102.6719
320 -4530096.3203 3660705.8926 -104229119580103.8906
321 -4530094.2188 3660702.9668 -104229119580105.8750
322 -4530084.4453 3660693.9316 -104229119580105.8750
323 -4530077.8359 3660686.4492 -104229119580101.4062
324 -4530079.3359 3660681.6172 -104229119580104.0469
325 -4530078.5000 3660674.2090 -104229119580108.7031
326 -4530066.6562 3660668.1035 -104229119580102.1406
327 -4530069.6953 3660669.7363 -104229119580098.0625
328 -4530058.9922 3660660.1777 -104229119580093.2656
329 -4530056.9219 3660657.2168 -104229119580096.3906
330 -4530053.0547 3660661.0879 -104229119580096.3906
331 -4530049.5391 3660657.3184 -104229119580099.5156
332 -4530055.3281 3660660.2676 -104229119580104.6250
333 -4530066.8594 3660671.6406 -104229119580114.3125
334 -4530066.0469 3660668.8359 -104229119580115.0000
335 -4530066.8359 3660662.9492 -104229119580109.9062
336 -4530061.8516 3660664.5527 -104229119580109.6250
337 -4530059.5078 3660659.8594 -104229119580101.2812
338 -4530055.5234 3660653.8164 -104229119580097.4531
339 -4530052.6250 3660654.6289 -104229119580096.9688
340 -4530056.0703 3660655.0117 -104229119580087.6250
341 -4530059.9609 3660654.8828 -104229119580090.8906
342 -4530061.8594 3660656.5234 -104229119580090.2500
343 -4530069.5078 3660657.6094 -104229119580091.2031
344 -4530066.1406 3660663.0996 -104229119580096.3750
345 -4530068.5469 3660664.2188 -104229119580098.5000
346 -4530069.4688 3660662.4648 -104229119580102.0000
347 -4530075.2500 3660670.9355 -104229119580103.2188
348 -4530086.1484 3660681.0898 -104229119580109.7031
349 -4530072.7969 3660679.8633 -104229119580108.4062
350 -4530089.3906 3660685.4727 -104229119580113.0312
351 -4530086.2578 3660685.3809 -104229119580114.5625
352 -4530086.0000 3660692.3457 -104229119580119.1406
353 -4530084.9844 3660691.3789 -104229119580109.7500
354 -4530080.1562 3660695.3535 -104229119580109.8281
355 -4530087.4688 3660697.3691 -104229119580112.5625
356 -4530080.0156 3660693.6016 -104229119580113.4219
357 -4530085.3906 3660698.5469 -104229119580118.5469
358 -4530079.7891 3660699.9590 -104229119580113.1562
359 -4530083.8594 3660706.0879 -104229119580116.5781
360 -4530080.6484 3660705.1738 -104229119580109.5000
361 -4530076.3438 3660699.8516 -104229119580108.1562
362 -4530072.0156 3660696.6816 -104229119580108.6562
363 -4530070.4922 3660699.9062 -104229119580109.2656
364 -4530068.0156 3660701.2891 -104229119580112.5625
365 -4530067.0469 3660710.1934 -104229119580115.3750
366 -4530066.8828 3660716.2891 -104229119580112.9688
367 -4530075.2344 3660731.6543 -104229119580117.4375
368 -4530087.3047 3660738.1875 -104229119580118.8750
369 -4530081.7734 3660737.3379 -104229119580115.0156
370 -4530080.9297 3660736.2109 -104229119580115.0312
371 -4530083.9453 3660735.0820 -104229119580133.6562
372 -4530081.1484 3660742.2246 -104229119580126.6875
373 -4530074.7500 3660738.3418 -104229119580124.8281
374 -4530071.2422 3660730.2324 -104229119580122.8906
375 -4530066.7891 3660727.8516 -104229119580122.3125
376 -4530060.2969 3660725.2324 -104229119580120.0781
377 -4530061.6484 3660720.6602 -104229119580121.5469
378 -4530069.1406 3660725.6816 -104229119580113.5938
379 -4530059.5625 3660720.0586 -104229119580111.3906
380 -4530053.6250 3660719.1113 -104229119580106.7188
381 -4530048.6875 3660716.6445 -104229119580102.4219
382 -4530052.9766 3660712.3945 -104229119580098.7500
383 -4530047.8594 3660706.7578 -104229119580099.0625
384 -4530043.8438 3660700.0527 -104229119580094.6094
385 -4530038.1562 3660690.5000 -104229119580091.6406
386 -4530040.3359 3660684.6699 -104229119580092.8125
387 -4530035.3672 3660683.7188 -104229119580091.8750
388 -4530031.9609 3660684.3633 -104229119580099.5312
389 -4530042.9922 3660694.7949 -104229119580106.3125
390 -4530035.6172 3660682.7617 -104229119580104.4531
391 -4530043.3906 3660689.4199 -104229119580112.5156
392 -4530046.6172 3660688.9824 -104229119580114.7031
393 -4530050.3516 3660690.7793 -104229119580118.2656
394 -4530053.1641 3660696.1406 -104229119580128.9375
395 -4530057.6172 3660694.7559 -104229119580124.9531
396 -4530056.2266 3660690.3105 -104229119580124.2344
397 -4530043.7891 3660686.2715 -104229119580126.0000
398 -4530050.7891 3660694.9805 -104229119580124.1719
399 -4530048.9062 3660693.5918 -104229119580126.1719
400 -4530048.5234 3660692.0508 -104229119580122.0312
401 -4530044.4375 3660689.4043 -104229119580129.5312
402 -4530063.5781 3660703.9668 -104229119580133.8125
403 -4530041.9531 3660691.0957 -104229119580129.3125
404 -4530045.6406 3660698.9941 -104229119580134.2969
405 -4530048.0938 3660702.0898 -104229119580141.2969
406 -4530033.6641 3660688.5195 -104229119580129.0938
407 -4530037.9766 3660689.2031 -104229119580127.9844
408 -4530030.6172 3660694.4414 -104229119580131.6562
409 -4530037.1875 3660699.8750 -104229119580129.1875
410 -4530033.3516 3660689.4746 -104229119580125.2188
411 -4530028.8125 3660686.2031 -104229119580124.3125
412 -4530037.2969 3660692.0762 -104229119580131.1719
413 -4530035.5312 3660692.7324 -104229119580124.5156
414 -4530033.9844 3660696.1309 -104229119580129.3750
415 -4530035.8281 3660698.0312 -104229119580125.4531
416 -4530034.1328 3660686.7930 -104229119580129.5312
417 -4530036.6875 3660688.8594 -104229119580124.2969
418 -4530030.4609 3660683.9688 -104229119580118.2344
419 -4530031.3438 3660685.6250 -104229119580116.5625
420 -4530029.1875 3660683.6113 -104229119580114.5000
421 -4530032.9844 3660682.6758 -104229119580111.3281
422 -4530043.0781 3660692.0273 -104229119580113.1875
423 -4530045.8984 3660690.2188 -104229119580110.6562
424 -4530037.8438 3660684.4648 -104229119580105.6250
425 -4530042.5391 3660680.0547 -104229119580097.7344
426 -4530043.4453 3660682.9023 -104229119580093.6875
427 -4530040.3672 3660678.3965 -104229119580095.1094
428 -4530038.1406 3660686.6387 -104229119580093.2188
429 -4530052.0234 3660704.7656 -104229119580083.0312
430 -4530060.1641 3660715.8008 -104229119580081.5625
431 -4530059.6250 3660717.0996 -104229119580080.6094
432 -4530059.6953 3660715.4512 -104229119580083.1250
433 -4530061.0156 3660713.9707 -104229119580086.3125
434 -4530066.1328 3660720.9180 -104229119580090.9062
435 -4530068.4922 3660725.8574 -104229119580092.3438
436 -4530078.4609 3660735.5215 -104229119580096.4688
437 -4530081.1016 3660740.3281 -104229119580098.1562
438 -4530083.3438 3660741.4473 -104229119580092.9531
439 -4530082.1250 3660740.1914 -104229119580101.2656
440 -4530089.8516 3660747.0137 -104229119580102.4062
441 -4530104.5703 3660754.9922 -104229119580097.3438
442 -4530104.6875 3660759.0234 -104229119580103.9375
443 -4530112.3047 3660765.9023 -104229119580105.6250
444 -4530109.5781 3660758.7441 -104229119580113.7344
445 -4530113.5078 3660755.1270 -104229119580114.8906
446 -4530113.8516 3660750.5957 -104229119580115.1562
447 -4530106.6328 3660738.1250 -104229119580115.8281
448 -4530104.2109 3660731.5645 -104229119580116.0781
449 -4530103.5938 3660727.3281 -104229119580119.3125
450 -4530100.7656 3660723.6816 -104229119580116.1250
451 -4530103.3594 3660724.1152 -104229119580120.5625
452 -4530106.4375 3660724.6855 -104229119580122.5000
453 -4530112.8906 3660723.4863 -104229119580127.5938
454 -4530118.6016 3660724.5664 -104229119580133.5625
455 -4530115.2344 3660719.3047 -104229119580134.9375
456 -4530108.9219 3660713.7480 -104229119580130.1250
457 -4530103.1875 3660703.9453 -104229119580129.1875
458 -4530105.6094 3660702.8730 -104229119580131.6094
459 -4530109.2812 3660704.5879 -104229119580128.8125
460 -4530117.0938 3660706.4414 -104229119580129.5469
461 -4530115.8203 3660702.3555 -104229119580131.5312
462 -4530120.2422 3660701.5977 -104229119580128.4688
463 -4530118.5859 3660696.4336 -104229119580121.9688
464 -4530114.5234 3660689.3594 -104229119580120.1562
465 -4530111.5391 3660691.8184 -104229119580117.0625
466 -4530121.3125 3660692.7324 -104229119580108.6562
467 -4530127.6953 3660697.0918 -104229119580111.4688
468 -4530121.9375 3660690.3906 -104229119580109.4688
469 -4530130.7266 3660695.0684 -104229119580106.5625
470 -4530133.6797 3660695.0625 -104229119580103.6719
471 -4530129.1719 3660696.2637 -104229119580103.9219
472 -4530124.9062 3660692.3770 -104229119580107.0938
473 -4530130.9297 3660697.9941 -104229119580109.4062
474 -4530134.8281 3660700.2148 -104229119580107.5000
475 -4530138.0938 3660699.5723 -104229119580118.0000
476 -4530147.2812 3660703.6523 -104229119580121.7500
477 -4530135.4609 3660701.8164 -104229119580125.2500
478 -4530141.6172 3660712.3301 -104229119580118.5312
479 -4530144.2891 3660717.9121 -104229119580123.1406
480 -4530137.3828 3660718.4707 -104229119580125.4062
481 -4530143.3125 3660722.9707 -104229119580125.2188
482 -4530149.7344 3660723.4629 -104229119580126.2656
483 -4530148.2188 3660724.3105 -104229119580125.5000
484 -4530149.7500 3660727.4785 -104229119580122.0781
485 -4530145.6797 3660727.5645 -104229119580119.8281
486 -4530139.7578 3660727.2559 -104229119580119.2656
487 -4530141.8672 3660732.8125 -104229119580116.5625
488 -4530140.3750 3660731.0938 -104229119580112.9844
489 -4530140.5000 3660737.6250 -104229119580104.8594
490 -4530148.1875 3660748.0723 -104229119580106.1875
491 -4530124.6797 3660737.2559 -104229119580072.1094
492 -4530133.2109 3660749.8691 -104229119580070.8125
493 -4530126.6406 3660741.3691 -104229119580071.6250
494 -4530125.3984 3660734.0879 -104229119580070.0469
495 -4530121.8125 3660729.3457 -104229119580063.4062
496 -4530118.3359 3660731.0293 -104229119580065.5781
497 -4530115.9766 3660731.3281 -104229119580066.4688
498 -4530113.3672 3660723.7695 -104229119580059.7188
499 -4530096.6094 3660722.0312 -104229119580063.5625
500 -4530089.7891 3660718.4395 -104229119580065.2031
501 -4530086.1016 3660711.9160 -104229119580068.8750
502 -4530074.5859 3660698.5254 -104229119580060.5469
503 -4530073.2422 3660697.8418 -104229119580064.3438
504 -4530071.6328 3660692.9473 -104229119580058.8438
505 -4530071.9375 3660693.3418 -104229119580061.0781
506 -4530072.4844 3660694.3711 -104229119580063.6875
507 -4530073.4609 3660692.4297 -104229119580065.6406
508 -4530075.3438 3660693.2578 -104229119580062.6719
509 -4530073.6250 3660691.7949 -104229119580073.5156
510 -4530090.8984 3660696.4043 -104229119580075.7812
511 -4530100.2969 3660702.5547 -104229119580080.4688
512 -4530097.6953 3660695.0566 -104229119580073.0312
513 -4530087.6250 3660687.3906 -104229119580064.8594
514 -4530093.8047 3660689.3086 -104229119580063.5156
515 -4530094.1172 3660688.8789 -104229119580060.6562
516 -4530087.2734 3660686.6035 -104229119580054.4844
