Epoch   E(m)   N(m)   U(m)
177 0.0925539 0.0570836 0.365087
178 0.102356 0.0610638 0.36656
179 0.106412 0.0453644 0.389719
180 0.131731 0.0339622 0.415767
181 0.168679 0.0117258 0.496061
182 0.223041 -0.00150312 0.660497
183 0.232254 0.00254023 0.662905
184 0.24771 -0.009726 0.685739
185 0.264546 -0.02293 0.708258
186 0.272383 -0.0376784 0.719771
187 0.27298 -0.0398925 0.716698
188 0.287573 -0.0496144 0.719748
189 0.293725 -0.0644281 0.712328
190 0.299218 -0.0692178 0.697542
191 0.305616 -0.0791291 0.69847
192 0.317261 -0.0998943 0.696151
193 0.317987 -0.106661 0.666808
194 0.327117 -0.114427 0.652852
195 0.331411 -0.123883 0.645209
196 0.3434 -0.119202 0.619734
197 0.342865 -0.131666 0.579724
198 0.337161 -0.136122 0.537548
199 0.350128 -0.145809 0.502641
200 0.35611 -0.152649 0.462115
201 0.357563 -0.154784 0.413682
202 0.385207 -0.177975 0.402931
203 0.349332 0.0304546 0.87367
204 0.361032 0.0316829 0.869965
205 0.367449 0.0319601 0.862337
206 0.377815 0.0410302 0.856856
207 0.387438 0.0442384 0.842636
208 0.402508 0.0472941 0.850473
209 0.412277 0.0462102 0.853053
210 0.425134 0.0576952 0.827347
211 0.435073 0.0521638 0.846837
212 0.452677 0.0568461 0.835496
213 0.470377 0.0352015 0.7896
214 0.132377 -0.187784 1.69425
215 0.136919 -0.190666 1.70733
216 0.142753 -0.186703 1.71916
217 0.14628 -0.187388 1.71357
218 0.156059 -0.183173 1.72693
219 0.167332 -0.28451 1.49603
220 0.154711 -0.0400832 2.05259
221 0.149623 -0.0684972 1.97935
222 0.138071 -0.0504428 1.97904
223 0.137216 -0.0724452 1.93481
224 0.00185039 -0.313182 1.28705
225 0.0165965 -0.331471 1.29569
226 0.0228158 -0.346306 1.2945
227 0.031033 -0.343775 1.26885
228 0.0490515 -0.349317 1.31804
229 0.0657293 -0.333778 1.36468
230 0.0612258 -0.330153 1.37945
231 0.0771109 -0.331923 1.37514
232 0.0877471 -0.306865 1.46842
233 0.087549 -0.302364 1.47172
234 0.0801356 -0.31353 1.43036
235 0.0808009 -0.315811 1.45378
236 0.0934023 -0.316626 1.4682
237 0.0874254 -0.313066 1.48985
238 0.0837811 -0.306814 1.50885
239 0.0781861 -0.304311 1.50758
240 0.0721478 -0.29611 1.51727
241 0.0836566 -0.289089 1.5383
242 0.0856541 -0.274618 1.54994
243 0.0856556 -0.2685 1.55536
244 0.0844917 -0.264415 1.57701
245 0.0921407 -0.251251 1.61502
246 0.108198 -0.241133 1.66391
247 0.121246 -0.239049 1.66312
248 0.115358 -0.234576 1.67268
249 0.124841 -0.2322 1.67094
250 0.121906 -0.232845 1.69031
251 0.120723 -0.24144 1.68597
252 0.113872 -0.2426 1.67394
253 0.113699 -0.244008 1.67589
254 0.113168 -0.245605 1.69051
255 0.11616 -0.228408 1.68588
256 0.12511 -0.216611 1.70831
257 0.129315 -0.207407 1.71292
258 0.128679 -0.202375 1.74829
259 0.123747 -0.211773 1.73989
260 0.127325 -0.2126 1.73372
261 0.128812 -0.20809 1.72713
262 0.1362 -0.197459 1.73646
263 0.131795 -0.195495 1.7502
264 0.133755 -0.18835 1.75431
265 0.13376 -0.191005 1.72651
266 0.134097 -0.190764 1.74869
267 0.14031 -0.190168 1.76351
268 0.132399 -0.177208 1.78292
269 0.13252 -0.169221 1.79128
270 0.137682 -0.157383 1.79044
271 0.133614 -0.150746 1.80619
272 0.137792 -0.151156 1.81767
273 0.142008 -0.154803 1.82572
274 0.144417 -0.161299 1.82842
275 0.156775 -0.158116 1.84605
276 0.150151 -0.166563 1.84589
277 0.149433 -0.17629 1.8365
278 0.145608 -0.16742 1.84474
279 0.150408 -0.155012 1.86359
280 0.143413 -0.152494 1.88495
281 0.149792 -0.153391 1.88631
282 0.156714 -0.161709 1.89954
283 0.15342 -0.153635 1.92132
284 0.153823 -0.153912 1.91413
285 0.148538 -0.149483 1.94196
286 0.159261 -0.142917 1.93782
287 0.154526 -0.144332 1.93274
288 0.156018 -0.154837 1.92154
289 0.152026 -0.149263 1.91307
290 0.146101 -0.147317 1.91373
291 0.15419 -0.14466 1.91768
292 0.146167 -0.144786 1.93432
293 0.14496 -0.146141 1.91948
294 0.148719 -0.138607 1.92584
295 0.15438 -0.142578 1.94817
296 0.15406 -0.145901 1.93505
297 0.140895 -0.149812 1.93946
298 0.148531 -0.146835 1.93683
299 0.145376 -0.142686 1.92766
300 0.152087 -0.157044 1.88705
301 0.156383 -0.150667 1.89741
302 0.400932 -0.124824 1.84984
303 0.42236 -0.174001 1.72566
304 0.368857 -0.044759 1.99796
305 0.397747 -0.101809 1.8668
306 0.392549 -0.0978334 1.8876
307 0.386836 -0.0876926 1.90922
308 0.384853 -0.0902021 1.89295
309 0.394304 -0.0919978 1.88001
310 0.39208 -0.0967342 1.8652
311 0.391247 -0.0868493 1.8732
312 0.403908 -0.0874808 1.86099
313 0.401819 -0.0869658 1.87012
314 0.410387 -0.0761839 1.87474
315 0.402821 -0.0713775 1.88812
316 0.401861 -0.0682675 1.88691
317 0.410826 -0.0652598 1.90993
318 0.41544 -0.0684866 1.90294
319 0.414114 -0.06868 1.90267
320 0.409852 -0.0636255 1.8847
321 0.413157 -0.0619549 1.89718
322 0.415686 -0.0678278 1.9016
323 0.419877 -0.0647685 1.90388
324 0.420739 -0.0623644 1.88544
325 0.427459 -0.0587683 1.84665
326 0.427181 -0.0639044 1.83974
327 0.429623 -0.0573004 1.83124
328 0.425427 -0.0541441 1.85308
329 0.428301 -0.0488154 1.84968
330 0.432274 -0.0539421 1.851
331 0.433212 -0.0458844 1.83936
332 0.44207 -0.0443823 1.82855
333 0.438654 -0.0506906 1.83041
334 0.441547 -0.0519932 1.81207
335 0.440396 -0.048226 1.82239
336 0.444724 -0.0436198 1.81344
337 0.446 -0.0336725 1.80972
338 0.436868 -0.0328243 1.82031
339 0.438754 -0.0244581 1.81091
340 0.435287 -0.0237263 1.80249
341 0.432322 -0.0211774 1.81298
342 0.437844 -0.0161325 1.81094
343 0.440212 -0.00912801 1.79931
344 0.435914 -0.00701831 1.79404
345 0.436609 0.000345215 1.78102
346 0.444344 0.00421109 1.7674
347 0.437516 0.00446646 1.75835
348 0.437878 0.00847776 1.74653
349 0.448499 0.0120887 1.75988
350 0.444467 0.0117336 1.75748
351 0.441904 -0.0175471 1.67509
352 0.449501 0.00785154 1.71212
353 0.453938 -0.0175155 1.63685
354 0.449976 -0.0548697 1.54502
355 0.453997 -0.0334272 1.62072
356 0.456774 -0.0104119 1.66668
357 0.451601 -0.0217735 1.62818
358 0.472469 0.0272457 1.70117
359 0.475392 0.050961 1.74962
360 0.466025 0.0264174 1.70322
361 0.474494 0.0407276 1.72588
362 0.470272 0.0195469 1.68594
363 0.472054 0.020515 1.67892
364 0.470271 0.0191117 1.67256
365 0.466581 0.011483 1.62342
366 0.469365 0.0266363 1.64065
367 0.476266 0.0232925 1.63119
368 0.475181 0.0307911 1.65281
369 0.483866 0.0460487 1.66697
370 0.474939 0.0446127 1.64632
371 0.485606 0.0433739 1.64775
372 0.486796 0.0398216 1.65015
373 0.497959 0.0365655 1.63415
374 0.500788 0.0351534 1.63326
375 0.644786 0.0704822 1.28784
376 0.64617 0.0623177 1.29365
377 0.647015 0.063231 1.28608
378 0.637981 0.0689506 1.2844
379 0.446182 0.0266116 1.76081
380 0.384319 0.0118371 1.93571
381 0.371228 0.00975228 1.95714
382 0.362654 0.00611811 1.95298
383 0.501239 0.030574 1.61103
384 0.53892 0.0420092 1.52996
385 0.615498 0.0600238 1.36117
386 0.627478 0.0557772 1.33019
387 0.590602 0.0444962 1.4249
388 0.595734 0.0525389 1.41937
389 0.574932 0.0426302 1.47863
390 0.599928 0.0464323 1.4332
391 0.595308 0.0529803 1.46092
392 0.601795 0.0539219 1.46828
393 0.60158 0.0572105 1.4654
394 0.601062 0.0553229 1.44186
395 0.609033 0.0566885 1.43918
396 0.606026 0.0635031 1.45051
397 0.59494 0.0619925 1.44615
398 0.605662 0.0640348 1.43834
399 0.605416 0.0630721 1.43935
400 0.617443 0.0642326 1.43493
401 0.621189 0.0673461 1.41785
402 0.624995 0.0662348 1.43391
403 0.637342 0.0638704 1.43163
404 0.633781 0.0566425 1.45865
405 0.63857 0.0567693 1.45569
406 0.646388 0.0572397 1.4723
407 0.648555 0.0609513 1.42846
408 0.648621 0.0593166 1.42117
409 0.638562 0.0604852 1.42864
410 0.645838 0.0597122 1.41686
411 0.668579 0.057206 1.392
412 0.673908 0.0544929 1.36656
413 0.701257 0.0479183 1.31056
414 0.714703 0.0509111 1.2712
415 0.720252 0.0530236 1.26317
416 0.729506 0.0567298 1.26123
417 0.732726 0.0604461 1.25076
418 0.750665 0.0593993 1.23534
419 0.753618 0.0625222 1.20818
420 0.750119 0.0610631 1.20532
421 0.698006 0.0602679 1.30982
422 0.378886 0.215173 1.87473
423 0.384904 0.19993 1.81418
424 0.3659 0.247187 1.92218
425 0.36973 0.23235 1.88819
426 0.364268 0.238597 1.90743
427 0.365081 0.201166 1.8078
428 0.361047 0.20423 1.78782
429 0.371145 0.207988 1.78516
430 0.367456 0.187828 1.72923
431 0.367541 0.190516 1.72225
432 0.367215 0.184658 1.69913
433 0.359898 0.190203 1.70797
434 0.357202 0.187024 1.68269
435 0.359761 0.197633 1.68581
436 0.364283 0.190303 1.67198
437 0.360798 0.190957 1.64994
438 0.359735 0.185731 1.62134
439 0.366654 0.178229 1.58093
440 0.359119 0.183924 1.5858
441 0.356733 0.191714 1.57212
442 0.357476 0.189345 1.56944
443 0.365093 0.188067 1.52191
444 0.360683 0.180827 1.50539
445 0.366408 0.175493 1.48242
446 0.369219 0.174843 1.45294
447 0.373293 0.169717 1.44597
448 0.372349 0.161204 1.42047
449 0.389622 0.116187 1.30486
450 0.384563 0.109712 1.27145
451 -0.0102311 0.405702 0.340276
452 -0.00221949 0.395527 0.340724
453 0.0174821 0.380767 0.363421
454 0.0308701 0.376253 0.342482
455 0.038501 0.363239 0.353318
456 0.0521078 0.35327 0.368118
457 0.0621038 0.341448 0.345782
458 0.0732878 0.326815 0.348072
459 0.0848958 0.31436 0.363046
460 0.102989 0.302836 0.372896
461 0.115759 0.290726 0.370107
462 0.145559 0.267784 0.35363
463 0.164287 0.255286 0.367616
464 0.17766 0.227368 0.371548
465 0.202526 0.213142 0.357814
466 0.207687 0.195841 0.358364
467 0.0153417 0.453245 1.10769
468 0.0210462 0.445437 1.1381
469 0.0270199 0.45184 1.14647
470 0.0345122 0.449099 1.17033
471 0.0407885 0.452206 1.15913
472 0.0401618 0.453041 1.13942
473 0.055412 0.451835 1.16822
474 0.0620898 0.456648 1.1778
475 0.0469009 0.453119 1.18511
476 0.0438334 0.450421 1.19791
477 0.0373508 0.458288 1.20248
478 0.0286391 0.45409 1.20769
479 0.0274013 0.462929 1.21538
480 0.0189983 0.46653 1.2267
481 0.00952397 0.466528 1.23422
482 0.0016079 0.47577 1.23197
483 -0.000992193 0.474696 1.24206
484 -0.000588821 0.485961 1.21649
485 -0.00638361 0.48832 1.22725
486 -0.016557 0.485116 1.24245
487 -0.0094484 0.484921 1.26891
488 -0.00250647 0.483509 1.26505
489 -0.00496834 0.482329 1.27312
490 -0.00926277 0.487812 1.25895
491 0.00133753 0.478249 1.28248
492 0.0059434 0.480061 1.30155
493 0.0101433 0.477843 1.29217
494 0.00363222 0.476075 1.30293
495 -0.00167934 0.480511 1.30042
496 0.0201124 0.476105 1.28133
497 0.025481 0.476747 1.29105
498 0.0251948 0.486385 1.27801
499 0.017117 0.483656 1.2853
500 0.0186823 0.48596 1.28515
501 0.0290685 0.484574 1.27562
502 0.0308622 0.488318 1.27112
503 0.0342408 0.4958 1.25904
504 0.0293144 0.508286 1.22745
505 0.0315413 0.514873 1.22966
506 0.0303784 0.510777 1.22356
507 0.0281056 0.522056 1.19479
508 0.0160345 0.406644 0.914799
509 0.0504481 0.59296 1.32994
510 0.0304925 0.658168 1.3867
511 -0.0312242 0.563496 1.08852
512 -0.0676277 0.471991 0.825599
513 -0.0784551 0.527985 0.893213
514 -0.0823216 0.576123 0.953431
515 -0.0574799 0.603188 1.0098
516 -0.0511656 0.611169 0.997992
517 -0.0405201 0.581158 0.891428
518 -0.0323384 0.543141 0.786376
519 -0.0168264 0.534574 0.730394
520 0.000328399 0.517498 0.661201
521 0.0204666 0.54118 0.670226
