# TOW(s)         Up(m)      
 211199.0000       -41.2727
 211200.0000       -37.8349
 211201.0000       -38.8107
 211202.0000       -38.6122
 211203.0000       -33.7531
 211204.0000       -36.5513
 211205.0000       -33.9838
 211206.0000       -34.0266
 211207.0000       -38.5235
 211208.0000       -38.5825
 211209.0000       -39.6177
 211210.0000       -42.2013
 211211.0000       -43.2405
 211212.0000       -40.5677
 211213.0000       -39.9089
 211214.0000       -42.6577
 211215.0000       -40.7051
 211216.0000       -41.3295
 211217.0000       -35.4697
 211218.0000       -40.9556
 211219.0000       -40.5987
 211220.0000       -36.7138
 211221.0000       -41.7913
 211222.0000       -42.9908
 211223.0000       -40.6742
 211224.0000       -34.6710
 211225.0000       -36.7744
 211226.0000       -32.5115
 211227.0000       -35.5317
 211228.0000       -30.5054
 211229.0000       -34.8061
 211230.0000       -36.5152
 211231.0000       -40.1901
 211232.0000       -39.4730
 211233.0000       -34.1232
 211234.0000       -31.0369
 211235.0000       -28.2569
 211236.0000       -36.5190
 211237.0000       -33.5860
 211238.0000       -39.5748
 211239.0000       -41.1112
 211240.0000       -37.6893
 211241.0000       -39.3421
 211242.0000       -30.1596
 211243.0000       -27.0919
 211244.0000       -15.5790
 211245.0000       -19.4641
 211246.0000       -15.6848
 211247.0000       -17.5077
 211248.0000       -20.1631
 211249.0000       -21.9277
 211250.0000       -14.7376
 211251.0000       -26.8023
 211252.0000       -23.1307
 211253.0000       -25.0082
 211254.0000       -16.7262
 211255.0000       -20.5146
 211256.0000       -24.6955
 211257.0000       -24.6359
 211258.0000       -27.9783
 211259.0000       -27.0700
 211260.0000       -35.2595
 211261.0000       -26.4722
 211262.0000       -31.4757
 211263.0000       -31.7984
 211264.0000       -27.4998
 211265.0000       -35.2156
 211266.0000       -31.9299
 211267.0000       -37.7944
 211268.0000       -42.0829
 211269.0000       -41.6483
 211270.0000       -34.3416
 211271.0000       -31.4029
 211272.0000       -38.9081
 211273.0000       -33.9687
 211274.0000       -28.7766
 211275.0000       -23.4581
 211276.0000       -33.1731
 211277.0000       -27.5271
 211278.0000       -39.7380
 211279.0000       -43.6710
 211280.0000       -48.1166
 211281.0000       -36.2837
 211282.0000       -30.9346
 211283.0000       -30.9736
 211284.0000       -38.1582
 211285.0000       -24.7076
 211286.0000       -34.0455
 211287.0000       -34.7086
 211288.0000       -38.8381
 211289.0000       -38.0998
 211290.0000       -36.9920
 211291.0000       -18.4580
 211292.0000       -19.8832
 211293.0000       -17.9704
 211294.0000       -15.8690
 211295.0000       -15.2508
 211296.0000       -12.4988
 211297.0000       -16.1834
 211298.0000       -11.2535
 211299.0000       -30.5424
 211300.0000       -17.8249
 211301.0000       -12.9694
 211302.0000        -8.2076
 211303.0000        -7.6573
 211304.0000       -11.2517
 211305.0000        -9.5308
 211306.0000       -21.0186
 211307.0000       -22.3653
 211308.0000       -27.0706
 211309.0000       -28.4068
 211310.0000       -32.1386
 211311.0000       -35.3426
 211312.0000       -35.7609
 211313.0000       -40.4450
 211314.0000       -38.7459
 211315.0000       -38.2606
 211316.0000       -39.7623
 211317.0000       -41.8688
 211318.0000       -40.5508
 211319.0000       -39.7280
 211320.0000       -36.4644
 211321.0000       -36.6579
 211322.0000       -34.9327
 211323.0000       -37.3811
 211324.0000       -39.0224
 211325.0000       -29.9268
 211326.0000       -26.1302
 211327.0000       -27.3409
 211328.0000       -26.2799
 211329.0000       -21.3646
 211330.0000       -27.4704
 211331.0000       -25.3294
 211332.0000       -20.3019
 211333.0000        -7.3910
 211334.0000       -12.6583
 211335.0000       -11.0781
 211336.0000       -11.5665
 211337.0000       -13.7424
 211338.0000        -5.9101
 211339.0000        24.5265
 211340.0000         7.3475
 211341.0000         6.5709
 211342.0000        21.7204
 211343.0000        13.9948
 211344.0000         6.2129
 211345.0000       -21.9161
 211346.0000       -26.3827
 211347.0000       -10.0141
 211348.0000       -19.5250
 211349.0000       -13.9082
 211350.0000       -15.2317
 211351.0000       -21.2927
 211352.0000       -19.7437
 211353.0000       -24.7557
 211354.0000       -25.4289
 211355.0000       -44.7588
 211356.0000       -42.8902
 211357.0000       -46.4647
 211358.0000       -42.8780
 211359.0000       -47.4868
 211360.0000       -46.1950
 211361.0000       -40.7992
 211362.0000       -45.8270
 211363.0000       -46.0363
 211364.0000       -44.3220
 211365.0000       -40.6635
 211366.0000       -44.6090
 211367.0000       -45.0947
 211368.0000       -43.7131
 211369.0000       -44.0584
 211370.0000       -43.5741
 211371.0000       -44.2937
 211372.0000       -46.2480
 211373.0000       -46.6028
 211374.0000       -46.5621
 211375.0000       -44.0394
 211376.0000       -41.4249
 211377.0000       -47.3343
 211378.0000       -46.7299
 211379.0000       -46.7694
 211380.0000       -44.8285
 211381.0000       -45.3552
 211382.0000       -48.3290
 211383.0000       -48.8574
 211384.0000       -49.1598
 211385.0000       -49.2954
 211386.0000       -53.2246
 211387.0000       -48.1568
 211388.0000       -48.5847
 211389.0000       -51.6588
 211390.0000       -51.4441
 211391.0000       -53.1277
 211392.0000       -49.1472
 211393.0000       -54.1392
 211394.0000       -54.9909
 211395.0000       -49.4130
 211396.0000       -51.2506
 211397.0000       -52.0179
 211398.0000       -53.3088
 211399.0000       -50.5300
 211400.0000       -47.4019
 211401.0000       -31.6633
 211402.0000       -43.5344
 211403.0000       -44.0373
 211404.0000       -40.1933
 211405.0000       -41.2210
 211406.0000       -41.0337
 211407.0000       -40.9060
 211408.0000       -44.8177
 211409.0000       -35.6100
 211410.0000       -38.6751
 211411.0000       -40.9460
 211412.0000       -34.0007
 211413.0000       -32.8690
 211414.0000       -45.3066
 211415.0000       -40.3146
 211416.0000       -34.4844
 211417.0000       -37.9885
 211418.0000       -36.1207
 211419.0000       -35.6679
 211420.0000       -37.0148
 211421.0000       -33.7874
 211422.0000       -38.8343
 211423.0000       -37.0390
 211424.0000       -39.3991
 211425.0000       -42.4822
 211426.0000       -49.1482
 211427.0000       -45.1322
 211428.0000       -50.6557
 211429.0000       -47.6433
 211430.0000       -49.6904
 211431.0000       -47.2651
 211432.0000       -49.2321
 211433.0000       -53.4947
 211434.0000       -54.4699
 211435.0000       -52.2919
 211436.0000       -51.2733
 211437.0000       -55.8319
 211438.0000       -52.7397
 211439.0000       -53.2318
 211440.0000       -50.6333
 211441.0000       -47.1995
 211442.0000       -50.3691
 211443.0000       -47.1287
 211444.0000       -46.9682
 211445.0000       -47.4246
 211446.0000       -45.8802
 211447.0000       -45.8731
 211448.0000       -47.3728
 211449.0000       -47.9310
 211450.0000       -51.4000
 211451.0000       -42.5858
 211452.0000       -41.2395
 211453.0000       -34.4604
 211454.0000       -37.9327
 211455.0000       -27.9254
 211456.0000       -30.9691
 211457.0000       -19.3714
 211458.0000       -17.6739
 211459.0000       -31.2512
 211460.0000       -36.9936
 211461.0000       -36.8944
 211462.0000       -29.3105
 211463.0000       -33.8159
 211464.0000       -34.2261
 211465.0000       -30.0253
 211466.0000       -38.8471
 211467.0000       -37.0633
 211468.0000       -33.4053
 211469.0000       -32.5923
 211470.0000       -32.3205
 211471.0000       -40.2323
 211472.0000       -34.7296
 211473.0000       -35.6549
 211474.0000       -31.7762
 211475.0000       -35.6330
 211476.0000       -40.7962
 211477.0000       -41.5253
 211478.0000       -40.5039
 211479.0000       -34.0738
 211480.0000       -34.0770
 211481.0000       -38.8518
 211482.0000       -46.0914
 211483.0000       -40.3905
 211484.0000       -39.8225
 211485.0000       -35.9414
 211486.0000       -40.9053
 211487.0000       -43.7587
 211488.0000       -40.9701
 211489.0000       -42.4531
 211490.0000       -43.6983
 211491.0000       -45.2673
 211492.0000       -43.6184
 211493.0000       -40.8067
 211494.0000       -42.5175
 211495.0000       -42.8762
 211496.0000       -41.1791
 211497.0000       -39.3154
 211498.0000       -38.8575
 211499.0000       -37.8867
 211500.0000       -38.8811
 211501.0000       -34.0918
 211502.0000       -34.2190
 211503.0000       -35.4652
 211504.0000       -35.8268
 211505.0000       -36.5754
 211506.0000       -36.8692
 211507.0000       -35.9395
 211508.0000       -38.1167
 211509.0000       -36.4885
 211510.0000       -32.6723
 211511.0000       -33.0685
 211512.0000       -31.7871
 211513.0000       -27.6361
 211514.0000       -26.2228
 211515.0000       -27.4233
 211516.0000       -32.8412
 211517.0000       -32.0381
 211518.0000       -34.3478
 211519.0000       -32.5152
 211520.0000       -34.8606
 211521.0000       -31.9643
 211522.0000       -33.2709
 211523.0000       -34.0450
 211524.0000       -30.7105
 211525.0000       -33.7274
 211526.0000       -34.0683
 211527.0000       -35.2915
 211528.0000       -36.5870
 211529.0000       -38.9678
 211530.0000       -36.1545
 211531.0000       -36.5836
 211532.0000       -35.6760
 211533.0000       -35.6874
 211534.0000       -37.6311
 211535.0000       -39.3172
 211536.0000       -40.9548
 211537.0000       -29.0724
 211538.0000       -35.9465
 211539.0000       -48.4101
 211540.0000       -36.4468
 211541.0000       -38.7974
 211542.0000       -38.3089
 211543.0000       -40.1847
 211544.0000       -41.6147
 211545.0000       -37.1967
 211546.0000       -36.8527
 211547.0000       -21.2614
 211548.0000       -26.0859
 211549.0000       -33.2758
 211550.0000       -31.4287
 211551.0000       -32.0141
 211552.0000       -36.1388
 211553.0000       -40.9482
 211554.0000       -43.9683
 211555.0000       -39.6051
 211556.0000       -40.8344
 211557.0000       -39.1951
 211558.0000       -39.0067
