# TOW(s)         Up(m)      
 208253.0000        33.3781
 208254.0000        42.1829
 208255.0000        70.8555
 208256.0000        75.0730
 208257.0000        92.6482
 208258.0000        26.1072
 208259.0000        66.4169
 208260.0000       111.5146
 208261.0000        58.7291
 208262.0000        20.1433
 208263.0000        42.7368
 208264.0000        51.2929
 208265.0000        48.6176
 208266.0000        -4.8708
 208267.0000        58.6588
 208268.0000        15.7258
 208269.0000       -23.8235
 208270.0000        42.0226
 208271.0000        42.6580
 208272.0000        63.9788
 208273.0000        68.5902
 208274.0000        65.2912
 208275.0000        56.3383
 208276.0000        32.1690
 208277.0000        48.6665
 208278.0000        -5.6728
 208279.0000        51.0584
 208280.0000        21.0938
 208281.0000        45.3045
 208282.0000        29.6931
 208283.0000        -8.9560
 208284.0000        35.5021
 208285.0000        46.4429
 208286.0000        31.0640
 208287.0000        18.9525
 208288.0000        19.2484
 208289.0000         9.7544
 208290.0000        17.8882
 208291.0000        40.1835
 208292.0000        27.9540
 208293.0000        40.8915
 208294.0000       -14.4546
 208295.0000        25.9483
 208296.0000        22.0617
 208297.0000        16.7399
 208298.0000        85.7248
 208299.0000        92.2219
 208300.0000        98.9216
 208301.0000        29.9095
 208302.0000        37.3220
 208303.0000        -0.6376
 208304.0000        49.6898
 208305.0000        32.3417
 208306.0000        17.7862
 208307.0000        24.6004
 208308.0000        14.9869
 208309.0000        35.5065
 208310.0000        37.4702
 208311.0000        36.7045
 208312.0000        34.8947
 208313.0000        39.5846
 208314.0000        53.8044
 208315.0000        45.6653
 208316.0000        21.6022
 208317.0000        32.0554
 208318.0000        37.2662
 208319.0000        47.0217
 208320.0000        29.9845
 208321.0000        46.0702
 208322.0000         8.9572
 208323.0000         1.2535
 208324.0000         4.2060
 208325.0000         0.3164
 208326.0000         3.0717
 208327.0000        36.2583
 208328.0000        36.8349
 208329.0000        48.1949
 208330.0000        44.2525
 208331.0000        22.4198
 208332.0000        -2.5301
 208333.0000         2.1063
 208334.0000        13.8592
 208335.0000        19.5876
 208336.0000        12.0825
 208337.0000        23.2513
 208338.0000        19.2273
 208339.0000        27.9559
 208340.0000         9.6194
 208341.0000        49.5121
 208342.0000        41.5793
 208343.0000        10.1154
 208344.0000        75.1987
 208345.0000        57.7605
 208346.0000        63.3620
 208347.0000        37.6311
 208348.0000        24.9460
 208349.0000        36.0833
 208350.0000        17.3254
 208351.0000        47.5086
 208352.0000        14.4979
 208353.0000        49.0354
 208354.0000        32.2680
 208355.0000        23.5329
 208356.0000        17.0939
 208357.0000        33.1350
 208358.0000         7.3431
 208359.0000         1.4971
 208360.0000        28.9124
 208361.0000        36.2956
 208362.0000        53.0759
 208363.0000        22.0540
 208364.0000        15.1995
 208365.0000        42.2133
 208366.0000        49.2920
 208367.0000        38.3072
 208368.0000        35.9745
 208369.0000        28.6406
 208370.0000        32.2222
 208371.0000        28.8906
 208372.0000        44.9178
 208373.0000        62.0837
 208374.0000        39.4439
 208375.0000        38.7637
 208376.0000        23.2612
 208377.0000        15.0442
 208378.0000        28.8973
 208379.0000        23.4247
 208380.0000         7.8495
 208381.0000         2.6613
 208382.0000        -8.5362
 208383.0000         8.5065
 208384.0000        -5.1956
 208385.0000        -8.0813
 208386.0000        15.7862
 208387.0000        26.9953
 208388.0000        22.5809
 208389.0000        35.6551
 208390.0000         5.8839
 208391.0000         6.1537
 208392.0000        23.2016
 208393.0000        18.2552
 208394.0000        20.7039
 208395.0000        20.6820
 208396.0000        35.8780
 208397.0000        17.6279
 208398.0000        24.1047
 208399.0000        20.7956
 208400.0000       -11.1097
 208401.0000         7.6133
 208402.0000        -5.7631
 208403.0000        14.6980
 208404.0000         3.1437
 208405.0000         4.3525
 208406.0000        14.3476
 208407.0000        13.3234
 208408.0000       -15.5558
 208409.0000       -25.1386
 208410.0000       -17.1275
 208411.0000       -22.3778
 208412.0000       -17.1303
 208413.0000       -13.3954
 208414.0000       -20.0217
 208415.0000         2.2282
 208416.0000        19.3158
 208417.0000        19.4991
 208418.0000        -5.4169
 208419.0000        -0.8098
 208420.0000         5.5900
 208421.0000         5.4526
 208422.0000        -1.0990
 208423.0000        24.6251
 208424.0000        55.6747
 208425.0000        41.5679
 208426.0000        43.9298
 208427.0000        29.0633
 208428.0000        33.6015
 208429.0000        22.9827
 208430.0000        30.6304
 208431.0000        26.0588
 208432.0000         0.8315
 208433.0000       -22.6588
 208434.0000       -15.5095
 208435.0000         4.8199
 208436.0000        -9.3684
 208437.0000        -5.1594
 208438.0000        -7.7566
 208439.0000         2.5148
 208440.0000         0.3563
 208441.0000        -5.0998
 208442.0000        -7.4512
 208443.0000       -14.6784
 208444.0000         0.7479
 208445.0000         1.0873
 208446.0000         4.6197
 208447.0000        10.8885
 208448.0000        19.7831
 208449.0000        13.2860
 208450.0000        13.3593
 208451.0000        10.9008
 208452.0000         6.5963
 208453.0000        46.5895
 208454.0000        34.0562
 208455.0000         9.3354
 208456.0000        11.9429
 208457.0000         8.4508
 208458.0000        13.6307
 208459.0000        16.2276
 208460.0000        35.9198
 208461.0000        40.4401
 208462.0000        27.2302
 208463.0000        57.2244
 208464.0000        46.7240
 208465.0000        30.9093
 208466.0000        29.3678
 208467.0000        32.1965
 208468.0000        45.0898
 208469.0000        36.9689
 208470.0000        75.8731
 208471.0000        23.2730
 208472.0000        15.3948
 208473.0000        57.6379
 208474.0000        12.1503
 208475.0000        77.9082
 208476.0000        81.2831
 208477.0000       100.0351
 208478.0000        77.5875
 208479.0000        64.3105
 208480.0000        52.9263
 208481.0000        49.9222
 208482.0000        31.4693
 208483.0000        36.1203
 208484.0000        66.9981
 208485.0000        91.2473
 208486.0000        90.9036
 208487.0000        78.4713
 208488.0000        58.9385
 208489.0000        35.4480
 208490.0000        38.1569
 208491.0000        44.6169
 208492.0000        23.9710
 208493.0000         9.2421
 208494.0000         6.2052
 208495.0000        11.9441
 208496.0000       -23.4723
 208497.0000         9.4714
 208498.0000       -11.1302
 208499.0000       -21.0579
 208500.0000        -4.1420
 208501.0000        13.3068
 208502.0000         4.6694
 208503.0000        26.6880
 208504.0000        54.3613
 208505.0000        82.0465
 208506.0000        55.7225
 208507.0000        25.7489
 208508.0000        32.0385
 208509.0000        28.3902
 208510.0000        -2.9229
 208511.0000        -5.2587
 208512.0000        22.6112
 208513.0000        16.4563
 208514.0000        24.1246
 208515.0000        15.2258
 208516.0000        10.5457
 208517.0000        28.8446
 208518.0000        24.5729
 208519.0000       -18.0853
 208520.0000        57.8128
 208521.0000        55.1470
 208522.0000        48.5183
 208523.0000        27.3201
 208524.0000         2.7176
 208525.0000        40.6174
 208526.0000         1.8652
 208527.0000        35.4028
 208528.0000         2.9681
 208529.0000        12.3417
 208530.0000         7.0489
 208531.0000        17.8024
 208532.0000        13.2916
 208533.0000        -5.4059
 208534.0000         2.2060
 208535.0000         3.8751
 208536.0000         5.1769
 208537.0000        -8.9827
 208538.0000        27.4219
 208539.0000         4.1028
 208540.0000        -2.5290
 208541.0000       -26.7585
 208542.0000       -33.2018
 208543.0000       -14.5983
 208544.0000        15.0286
 208545.0000         4.5355
 208546.0000        42.9640
 208547.0000       -18.8201
 208548.0000       -20.0544
 208549.0000         4.8918
 208550.0000         0.0377
 208551.0000        -6.2307
 208552.0000        -3.8470
 208553.0000        -5.5306
 208554.0000        -2.0266
 208555.0000        -0.9005
 208556.0000        23.3562
 208557.0000        34.3686
 208558.0000        11.7605
 208559.0000       -21.2485
 208560.0000        -5.1877
 208561.0000        24.0165
