Epoch GPSWeek GPSSeconds E N U
89 2170 175440.000 -3.996946e+64 -5.261372e+64 6.333948e+64
90 2170 175470.000 -3.996946e+64 -5.261372e+64 6.333948e+64
91 2170 175500.000 -3.996946e+64 -5.261372e+64 6.333948e+64
92 2170 175530.000 -3.996946e+64 -5.261372e+64 6.333948e+64
93 2170 175560.000 -3.996946e+64 -5.261372e+64 6.333948e+64
94 2170 175590.000 -3.996946e+64 -5.261372e+64 6.333948e+64
95 2170 175620.000 -3.996946e+64 -5.261372e+64 6.333948e+64
96 2170 175650.000 -3.996946e+64 -5.261372e+64 6.333948e+64
97 2170 175680.000 -3.996946e+64 -5.261372e+64 6.333948e+64
98 2170 175710.000 -3.996946e+64 -5.261372e+64 6.333948e+64
99 2170 175740.000 -3.996946e+64 -5.261372e+64 6.333948e+64
100 2170 175770.000 -3.996946e+64 -5.261372e+64 6.333948e+64
101 2170 175800.000 -3.996946e+64 -5.261372e+64 6.333948e+64
102 2170 175830.000 -3.996946e+64 -5.261372e+64 6.333948e+64
103 2170 175860.000 -3.996946e+64 -5.261372e+64 6.333948e+64
104 2170 175890.000 -3.996946e+64 -5.261372e+64 6.333948e+64
105 2170 175920.000 -3.996946e+64 -5.261372e+64 6.333948e+64
106 2170 175950.000 -3.996946e+64 -5.261372e+64 6.333948e+64
107 2170 175980.000 -3.996946e+64 -5.261372e+64 6.333948e+64
108 2170 176010.000 -3.996946e+64 -5.261372e+64 6.333948e+64
109 2170 176040.000 -3.996946e+64 -5.261372e+64 6.333948e+64
110 2170 176070.000 -3.996946e+64 -5.261372e+64 6.333948e+64
111 2170 176100.000 -3.996946e+64 -5.261372e+64 6.333948e+64
112 2170 176130.000 -3.996946e+64 -5.261372e+64 6.333948e+64
113 2170 176160.000 -3.996946e+64 -5.261372e+64 6.333948e+64
114 2170 176190.000 -3.996946e+64 -5.261372e+64 6.333948e+64
115 2170 176220.000 -3.996946e+64 -5.261372e+64 6.333948e+64
116 2170 176250.000 -3.996946e+64 -5.261372e+64 6.333948e+64
117 2170 176280.000 -3.996946e+64 -5.261372e+64 6.333948e+64
118 2170 176310.000 -3.996946e+64 -5.261372e+64 6.333948e+64
119 2170 176340.000 -3.996946e+64 -5.261372e+64 6.333948e+64
120 2170 176370.000 -3.996946e+64 -5.261372e+64 6.333948e+64
121 2170 176400.000 -3.996946e+64 -5.261372e+64 6.333948e+64
122 2170 176430.000 -3.996946e+64 -5.261372e+64 6.333948e+64
123 2170 176460.000 -3.996946e+64 -5.261372e+64 6.333948e+64
124 2170 176490.000 -3.996946e+64 -5.261372e+64 6.333948e+64
