GPSWeek  SecondsOfWeek          X(m)              Y(m)              Z(m)           Clock(m)  NumSats
2394     208071.000   -2267322.134    5009645.963    3220933.673         81.025     34
2394     208072.000   -2267321.788    5009644.681    3220931.695        -10.124     34
2394     208073.000   -2267319.450    5009644.318    3220930.269        -13.214     34
2394     208074.000   -2267317.806    5009642.866    3220929.690        -33.499     34
2394     208075.000   -2267317.909    5009641.472    3220929.959        -28.604     34
2394     208076.000   -2267318.307    5009641.264    3220928.508         60.951     34
2394     208077.000   -2267319.475    5009641.973    3220929.555        -50.857     34
2394     208078.000   -2267321.342    5009644.407    3220932.509        -38.921     34
2394     208079.000   -2267320.423    5009642.786    3220930.989        -17.475     34
2394     208080.000   -2267320.578    5009643.301    3220932.018        -16.637     34
2394     208081.000   -2267319.799    5009641.085    3220931.913        -34.870     34
2394     208082.000   -2267319.953    5009642.342    3220931.800         36.345     34
2394     208083.000   -2267319.317    5009642.514    3220930.550        -34.846     34
2394     208084.000   -2267319.890    5009643.344    3220930.078        -44.631     34
2394     208085.000   -2267319.563    5009645.517    3220931.616        -51.534     34
2394     208086.000   -2267319.176    5009649.763    3220933.836        -64.560     34
2394     208087.000   -2267318.340    5009650.012    3220934.773         18.324     34
2394     208088.000   -2267319.071    5009651.254    3220934.884        -52.823     34
2394     208089.000   -2267319.852    5009651.798    3220934.378        -47.695     34
2394     208090.000   -2267320.076    5009652.392    3220934.646        -59.273     34
2394     208091.000   -2267320.187    5009651.960    3220936.466        -48.951     34
2394     208092.000   -2267320.008    5009651.575    3220935.691         42.401     34
2394     208093.000   -2267320.557    5009652.224    3220936.722        -44.140     34
2394     208094.000   -2267320.796    5009652.055    3220938.424        -48.681     34
2394     208095.000   -2267320.975    5009652.399    3220937.719        -52.486     34
2394     208096.000   -2267322.891    5009655.663    3220941.492        -45.760     34
2394     208097.000   -2267323.628    5009660.390    3220943.771        -40.955     34
2394     208098.000   -2267323.619    5009662.596    3220944.106        -24.170     34
2394     208099.000   -2267322.743    5009663.277    3220944.072        -32.685     34
2394     208100.000   -2267322.026    5009664.816    3220944.629        -23.528     34
2394     208101.000   -2267322.596    5009664.099    3220944.440        -30.319     34
2394     208102.000   -2267322.833    5009663.249    3220943.355         51.637     34
2394     208103.000   -2267321.774    5009664.074    3220942.568          5.110     34
2394     208104.000   -2267322.520    5009665.710    3220944.661        -23.657     34
2394     208105.000   -2267325.493    5009670.706    3220948.117        -26.951     34
2394     208106.000   -2267326.623    5009670.680    3220949.411        -17.099     34
2394     208107.000   -2267327.991    5009670.789    3220949.659         61.922     34
2394     208108.000   -2267329.707    5009672.858    3220951.704          4.164     34
2394     208109.000   -2267310.597    5009661.096    3220953.177         -1.542     34
2394     208110.000   -2267308.648    5009660.749    3220952.359        -12.089     34
2394     208111.000   -2267307.215    5009660.838    3220951.225         77.231     34
2394     208112.000   -2267306.786    5009662.100    3220951.093         19.738     34
2394     208113.000   -2267305.043    5009662.203    3220950.717          7.133     34
2394     208114.000   -2267304.029    5009660.936    3220950.641        -10.347     34
2394     208115.000   -2267301.447    5009659.527    3220949.137         31.687     34
2394     208116.000   -2267300.463    5009659.438    3220946.578         84.392     34
2394     208117.000   -2267300.365    5009658.371    3220943.720        -21.498     34
2394     208118.000   -2267301.607    5009656.861    3220942.553        -21.334     34
2394     208119.000   -2267302.331    5009658.030    3220943.173        -22.307     34
2394     208120.000   -2267304.304    5009659.311    3220943.980         95.068     34
2394     208121.000   -2267305.435    5009660.480    3220946.139          6.643     34
2394     208122.000   -2267307.038    5009662.120    3220947.882         39.361     34
2394     208123.000   -2267307.356    5009661.310    3220949.174         51.194     34
2394     208124.000   -2267308.122    5009661.457    3220948.807        119.257     34
2394     208125.000   -2267308.864    5009663.733    3220950.749         36.234     34
2394     208126.000   -2267310.011    5009666.258    3220951.950         27.909     34
2394     208127.000   -2267307.896    5009665.891    3220951.837         27.472     34
2394     208128.000   -2267307.140    5009667.697    3220953.170         47.244     34
2394     208129.000   -2267306.435    5009668.926    3220950.324        143.609     34
2394     208130.000   -2267306.199    5009672.607    3220951.963         73.489     34
2394     208131.000   -2267282.967    5009659.178    3220960.272         54.415     34
2394     208132.000   -2267281.409    5009660.076    3220957.276         57.557     34
2394     208133.000   -2267280.040    5009660.531    3220956.662        129.048     34
2394     208134.000   -2267279.176    5009662.196    3220957.706         55.683     34
2394     208142.000   -2267275.241    5009672.235    3220958.919        107.558     34
2394     208143.000   -2267274.604    5009671.646    3220959.961         80.030     34
2394     208144.000   -2267274.783    5009669.773    3220958.730         79.434     34
2394     208145.000   -2267276.470    5009669.449    3220958.678         77.302     34
2394     208146.000   -2267280.027    5009671.591    3220960.644        155.511     34
2394     208147.000   -2267282.093    5009673.512    3220964.500         84.879     34
2394     208148.000   -2267282.136    5009673.177    3220964.479         83.664     34
2394     208149.000   -2267280.879    5009672.995    3220966.609         79.382     34
2394     208150.000   -2267280.004    5009675.687    3220967.307        164.721     34
2394     208151.000   -2267280.335    5009679.988    3220970.539         88.940     34
2394     208152.000   -2267277.851    5009678.449    3220969.331         87.229     34
2394     208153.000   -2267276.292    5009678.477    3220969.164         84.251     34
2394     208154.000   -2267275.552    5009679.281    3220968.463         84.142     34
2394     208155.000   -2267275.461    5009679.894    3220970.607         89.201     34
2394     208156.000   -2267275.804    5009681.962    3220970.195        164.846     34
2394     208157.000   -2267276.136    5009685.602    3220970.740         92.703     34
2394     208158.000   -2267275.577    5009685.905    3220972.319         94.161     34
2394     208159.000   -2267277.139    5009688.371    3220975.160         98.437     34
2394     208160.000   -2267277.134    5009688.632    3220975.767        100.955     34
2394     208161.000   -2267277.523    5009692.446    3220977.952        179.411     34
2394     208162.000   -2267277.236    5009693.935    3220980.261        106.902     34
2394     208163.000   -2267278.979    5009695.760    3220981.348        108.893     34
2394     208164.000   -2267280.254    5009699.397    3220982.955        113.004     34
2394     208165.000   -2267282.332    5009700.987    3220983.987        116.166     34
2394     208166.000   -2267283.393    5009702.277    3220984.803        117.142     34
2394     208167.000   -2267281.900    5009702.881    3220984.521        117.134     34
2394     208168.000   -2267281.108    5009702.528    3220984.793        116.825     34
2394     208169.000   -2267280.369    5009703.249    3220985.141        117.399     34
2394     208170.000   -2267279.062    5009704.446    3220984.406        118.507     34
2394     208171.000   -2267277.939    5009704.259    3220982.536        114.615     34
2394     208172.000   -2267288.653    5009713.042    3221005.441        209.131     33
2394     208173.000   -2267288.312    5009711.542    3221003.578        133.603     33
2394     208174.000   -2267289.682    5009713.119    3221004.360        137.144     34
2394     208175.000   -2267266.862    5009701.404    3221013.492        123.110     34
2394     208176.000   -2267267.250    5009703.082    3221015.664        126.355     34
2394     208177.000   -2267266.773    5009705.943    3221016.762        203.906     34
2394     208178.000   -2267264.662    5009709.406    3221019.356        133.453     34
2394     208179.000   -2267264.059    5009710.557    3221020.119        130.796     34
2394     208180.000   -2267262.100    5009712.110    3221021.179        127.943     34
2394     208181.000   -2267262.653    5009695.015    3221013.506        115.697     34
2394     208182.000   -2267263.598    5009695.352    3221012.300        193.164     34
2394     208183.000   -2267263.961    5009695.811    3221011.717        117.178     34
2394     208184.000   -2267253.466    5009693.134    3221019.219        112.138     34
2394     208185.000   -2267250.627    5009690.741    3221017.911        107.442     34
2394     208186.000   -2267249.984    5009690.658    3221018.526        113.560     34
2394     208187.000   -2267248.547    5009690.963    3221018.726        186.978     34
2394     208188.000   -2267256.227    5009700.143    3221040.813        127.247     35
2394     208189.000   -2267239.147    5009690.621    3221015.730         98.618     35
2394     208190.000   -2267238.405    5009689.805    3221015.730        102.380     35
2394     208191.000   -2267237.389    5009689.874    3221015.659         98.832     35
2394     208192.000   -2267239.311    5009693.526    3221016.435        182.383     35
2394     208193.000   -2267239.208    5009694.155    3221017.563        105.454     35
2394     208194.000   -2267236.994    5009692.207    3221019.379        100.446     35
2394     208195.000   -2267239.574    5009694.604    3221025.598        109.971     35
2394     208196.000   -2267240.207    5009694.892    3221028.219        115.940     35
2394     208197.000   -2267239.934    5009693.925    3221027.684        188.256     35
2394     208198.000   -2267238.394    5009692.991    3221027.387        111.627     35
2394     208199.000   -2267238.441    5009695.055    3221030.779        114.717     35
2394     208200.000   -2267237.348    5009694.668    3221032.990        112.282     35
2394     208201.000   -2267235.758    5009693.536    3221033.671        104.109     35
2394     208202.000   -2267235.694    5009693.683    3221034.283        178.550     35
2394     208203.000   -2267236.272    5009693.725    3221035.670        102.917     35
2394     208204.000   -2267235.257    5009694.246    3221037.046        102.800     35
2394     208205.000   -2267234.584    5009692.897    3221038.516        110.793     35
2394     208206.000   -2267233.626    5009691.651    3221038.891        111.009     35
2394     208207.000   -2267234.334    5009693.650    3221040.409        187.385     35
2394     208208.000   -2267236.036    5009694.471    3221042.537        112.453     35
2394     208209.000   -2267235.104    5009693.277    3221044.170        109.818     35
2394     208210.000   -2267235.333    5009692.308    3221044.860        106.631     35
2394     208211.000   -2267234.525    5009692.183    3221045.136        104.845     35
2394     208212.000   -2267234.240    5009691.180    3221044.924        186.795     35
2394     208213.000   -2267234.308    5009692.153    3221045.400        109.784     35
2394     208214.000   -2267232.657    5009689.729    3221044.071         89.183     35
2394     208215.000   -2267232.908    5009691.378    3221045.085         89.010     35
2394     208216.000   -2267232.430    5009692.388    3221044.533         74.252     35
2394     208217.000   -2267231.696    5009692.802    3221044.828        162.946     35
2394     208218.000   -2267231.474    5009695.155    3221045.488         99.736     35
2394     208219.000   -2267229.313    5009694.283    3221045.166         97.563     35
2394     208220.000   -2267229.607    5009694.917    3221043.260        100.460     35
2394     208221.000   -2267228.875    5009694.809    3221040.614        103.133     35
2394     208222.000   -2267225.641    5009689.514    3221038.358        179.204     35
2394     208223.000   -2267223.773    5009687.650    3221037.514         99.918     35
2394     208224.000   -2267223.068    5009687.235    3221037.692         98.571     35
2394     208225.000   -2267223.487    5009688.630    3221037.738         98.334     35
2394     208226.000   -2267223.570    5009690.866    3221039.557        105.370     35
2394     208227.000   -2267220.928    5009689.987    3221039.936        180.714     35
2394     208228.000   -2267219.927    5009689.139    3221040.365        100.288     35
2394     208229.000   -2267218.352    5009690.392    3221041.977        101.977     35
2394     208230.000   -2267217.184    5009690.566    3221042.665        101.767     35
2394     208231.000   -2267217.068    5009691.576    3221042.447         96.323     35
2394     208232.000   -2267217.346    5009695.679    3221045.783        180.749     35
2394     208233.000   -2267216.964    5009700.892    3221047.767        107.178     35
2394     208234.000   -2267216.991    5009704.596    3221050.011        111.242     35
2394     208235.000   -2267215.868    5009709.448    3221052.051        118.078     35
2394     208236.000   -2267214.864    5009710.526    3221052.176        116.891     35
2394     208249.255   -2267303.406    5009827.491    3221139.294     243614.093     29
2394     208250.254   -2267248.628    5009784.188    3221134.457    -243084.728     31
2394     208251.254   -2267252.104    5009797.825    3221123.514        203.703     34
2394     208252.254   -2267252.313    5009798.921    3221138.340        197.218     34
2394     208253.000   -2267252.389    5009799.613    3221143.044        181.669     34
2394     208254.000   -2267253.409    5009799.689    3221148.449        205.528     34
2394     208255.000   -2267255.347    5009801.317    3221154.322        283.055     34
2394     208256.000   -2267257.507    5009800.278    3221158.869        206.516     34
2394     208257.000   -2267277.421    5009798.324    3221177.606        224.258     34
2394     208258.000   -2267264.085    5009792.719    3221170.762        204.364     34
2394     208259.000   -2267266.042    5009791.733    3221174.325        294.692     34
2394     208260.000   -2267250.565    5009765.816    3221121.492        176.457     34
2394     208261.000   -2267252.453    5009766.441    3221126.047        181.786     34
2394     208262.000   -2267251.173    5009762.878    3221122.710        182.344     34
2394     208263.000   -2267255.074    5009764.454    3221126.838        191.437     33
2394     208264.000   -2267257.360    5009766.705    3221130.449        266.551     33
2394     208265.000   -2267257.058    5009766.935    3221132.757        189.278     33
2394     208266.000   -2267242.174    5009761.444    3221110.964        173.239     33
2394     208267.000   -2267242.875    5009763.306    3221112.678        176.626     33
2394     208268.000   -2267241.661    5009768.777    3221111.928        179.564     34
2394     208269.000   -2267238.976    5009761.068    3221100.324        241.160     33
2394     208270.000   -2267240.122    5009760.729    3221100.032        165.540     33
2394     208271.000   -2267240.724    5009766.324    3221102.158        168.044     33
2394     208272.000   -2267240.608    5009767.187    3221101.868        169.343     33
2394     208273.000   -2267239.964    5009766.606    3221101.700        172.367     33
2394     208274.000   -2267239.013    5009768.806    3221103.679        252.360     33
2394     208275.000   -2267240.098    5009771.673    3221105.315        175.416     33
2394     208276.000   -2267240.823    5009771.906    3221107.384        183.328     33
2394     208277.000   -2267240.588    5009773.043    3221109.217        183.918     33
2394     208278.000   -2267241.616    5009773.652    3221110.308        184.523     33
2394     208279.000   -2267241.930    5009772.898    3221111.735        259.802     33
2394     208280.000   -2267241.326    5009773.545    3221112.223        179.981     33
2394     208281.000   -2267242.265    5009774.211    3221114.248        180.873     33
2394     208282.000   -2267239.495    5009769.333    3221108.729        173.222     33
2394     208283.000   -2267237.530    5009766.902    3221104.405        173.407     33
2394     208284.000   -2267235.724    5009764.445    3221102.142        166.689     33
2394     208285.000   -2267233.514    5009760.395    3221096.394        160.191     33
2394     208286.000   -2267231.879    5009751.448    3221091.426        148.377     33
2394     208287.000   -2267230.007    5009717.188    3221088.172        125.161     33
2394     208288.000   -2267226.394    5009712.803    3221083.315        193.448     33
2394     208289.000   -2267223.049    5009707.280    3221076.737        115.222     33
2394     208290.000   -2267221.149    5009702.554    3221073.826        108.671     33
2394     208291.000   -2267219.329    5009701.851    3221070.899        112.579     33
2394     208292.000   -2267217.401    5009699.446    3221068.618        173.008     33
2394     208293.000   -2267216.508    5009701.181    3221066.040         83.047     33
2394     208294.000   -2267216.853    5009703.735    3221066.108         82.969     33
2394     208295.000   -2267215.682    5009704.566    3221064.864         81.052     33
2394     208296.000   -2267215.421    5009704.005    3221063.780         87.982     33
2394     208297.000   -2267215.368    5009704.750    3221065.595        161.729     33
2394     208298.000   -2267215.651    5009707.186    3221066.921         90.989     33
2394     208299.000   -2267216.089    5009711.098    3221069.016        112.431     33
2394     208300.000   -2267214.491    5009712.732    3221068.980        122.630     33
2394     208301.000   -2267210.984    5009715.461    3221073.316        123.981     34
2394     208302.000   -2267210.427    5009709.727    3221070.308        181.338     34
2394     208303.000   -2267212.351    5009708.706    3221069.827         79.326     34
2394     208304.000   -2267216.203    5009704.977    3221072.656         73.787     33
2394     208305.000   -2267217.596    5009703.537    3221071.624         39.945     33
2394     208306.000   -2267214.675    5009714.183    3221080.148        126.665     32
2394     208307.000   -2267214.930    5009716.672    3221081.151         62.169     32
2394     208308.000   -2267214.688    5009719.900    3221083.040         72.090     32
2394     208309.000   -2267214.500    5009722.485    3221084.634         82.264     32
2394     208310.000   -2267214.116    5009725.071    3221084.627         84.413     32
2394     208311.000   -2267211.440    5009723.399    3221083.839        163.371     32
2394     208312.000   -2267209.071    5009723.772    3221084.094         95.181     32
2394     208313.000   -2267208.632    5009727.497    3221085.755         85.330     32
2394     208314.000   -2267207.681    5009729.098    3221086.677         57.860     32
2394     208315.000   -2267208.240    5009726.825    3221084.605         62.920     33
2394     208316.000   -2267207.530    5009720.652    3221078.120        134.379     33
2394     208317.000   -2267204.127    5009720.197    3221075.856         70.098     33
2394     208318.000   -2267200.778    5009721.723    3221075.041         79.968     33
2394     208319.000   -2267177.175    5009714.698    3221045.295         67.351     33
2394     208320.000   -2267172.562    5009715.940    3221043.679         75.534     33
2394     208321.000   -2267169.779    5009718.451    3221045.442        154.398     33
2394     208322.000   -2267165.437    5009721.624    3221044.507         84.397     33
2394     208323.000   -2267160.454    5009725.557    3221045.875         99.369     33
2394     208324.000   -2267164.090    5009714.856    3221035.812         75.255     32
2394     208325.000   -2267162.152    5009715.644    3221034.633         82.783     32
2394     208326.000   -2267161.047    5009717.965    3221035.463        165.401     32
2394     208327.000   -2267160.842    5009722.731    3221039.082         93.521     32
2394     208328.000   -2267161.579    5009724.220    3221040.008         89.752     32
2394     208329.000   -2267160.567    5009723.237    3221040.408         93.783     32
2394     208330.000   -2267159.399    5009721.193    3221041.032         94.426     32
2394     208331.000   -2267162.592    5009714.955    3221035.776        167.147     33
2394     208332.000   -2267161.588    5009715.529    3221039.158         91.232     33
2394     208333.000   -2267160.015    5009713.358    3221041.065         96.188     33
2394     208334.000   -2267159.490    5009714.159    3221043.513        110.790     33
2394     208335.000   -2267159.453    5009716.594    3221046.443        106.911     33
2394     208336.000   -2267158.318    5009716.683    3221050.432        171.020     33
2394     208337.000   -2267157.601    5009715.591    3221052.703         93.680     33
2394     208338.000   -2267158.122    5009717.272    3221058.188        102.118     33
2394     208339.000   -2267157.760    5009718.143    3221061.668        100.558     33
2394     208340.000   -2267156.715    5009717.732    3221064.261         68.111     33
2394     208341.000   -2267156.471    5009717.022    3221064.997        151.650     33
2394     208342.000   -2267155.735    5009716.569    3221067.931         82.847     33
2394     208343.000   -2267150.233    5009714.964    3221067.996         76.086     34
2394     208344.000   -2267150.611    5009715.632    3221069.519         72.280     34
2394     208345.000   -2267149.773    5009716.373    3221069.740         65.138     34
2394     208346.000   -2267150.084    5009718.546    3221071.101        132.936     34
2394     208347.000   -2267150.443    5009719.782    3221074.389         58.333     34
2394     208348.000   -2267154.237    5009723.118    3221077.767         73.285     33
2394     208349.000   -2267154.083    5009723.006    3221078.992         76.877     33
2394     208350.000   -2267153.703    5009723.404    3221080.913         84.008     33
2394     208351.000   -2267151.929    5009724.384    3221080.229         82.331     33
2394     208352.000   -2267150.633    5009725.623    3221081.461         69.051     33
2394     208353.000   -2267147.776    5009727.411    3221081.245         68.170     33
2394     208354.000   -2267145.123    5009726.486    3221078.540         82.314     33
2394     208355.000   -2267143.196    5009726.535    3221076.054         67.760     33
2394     208356.000   -2267141.662    5009726.851    3221076.487        145.311     33
2394     208357.000   -2267139.621    5009726.744    3221076.899         74.889     33
2394     208358.000   -2267137.892    5009728.249    3221077.718         64.725     33
2394     208359.000   -2267137.146    5009729.546    3221081.377         73.921     33
2394     208360.000   -2267135.530    5009730.777    3221083.113         67.748     33
2394     208361.000   -2267134.386    5009730.910    3221086.530        129.686     33
2394     208362.000   -2267134.341    5009732.699    3221087.516         78.668     33
2394     208363.000   -2267132.618    5009732.986    3221088.265         63.961     33
2394     208364.000   -2267131.987    5009733.715    3221088.535         39.035     33
2394     208365.000   -2267129.668    5009732.056    3221088.197         23.792     33
2394     208366.000   -2267127.339    5009730.731    3221086.537         78.219     33
2394     208367.000   -2267125.897    5009730.189    3221087.612         18.395     33
2394     208368.000   -2267124.189    5009726.187    3221086.392        -10.484     33
2394     208369.000   -2267125.394    5009725.289    3221087.474         14.126     33
2394     208370.000   -2267123.462    5009720.946    3221088.987         51.264     33
2394     208371.000   -2267124.184    5009719.693    3221089.986         42.651     33
2394     208372.000   -2267125.711    5009718.148    3221091.131        127.698     33
2394     208373.000   -2267125.382    5009712.868    3221089.710         61.685     33
2394     208374.000   -2267126.574    5009710.777    3221091.081         63.318     33
2394     208375.000   -2267127.028    5009707.872    3221091.775         66.789     33
2394     208376.000   -2267128.365    5009707.632    3221091.256         66.208     33
2394     208377.000   -2267128.246    5009706.646    3221090.955        131.599     33
2394     208378.000   -2267126.713    5009703.400    3221088.823         62.069     33
2394     208379.000   -2267126.067    5009704.191    3221087.533         46.717     33
2394     208380.000   -2267125.696    5009703.591    3221086.247         56.703     33
2394     208381.000   -2267124.588    5009701.036    3221087.635         58.539     32
2394     208382.000   -2267122.092    5009698.532    3221085.700        114.645     32
2394     208383.000   -2267120.883    5009698.420    3221084.689         35.855     32
2394     208384.000   -2267120.216    5009699.509    3221083.765         36.957     32
2394     208385.000   -2267119.449    5009701.757    3221082.044         16.768     32
2394     208386.000   -2267119.762    5009702.984    3221082.210         36.508     32
2394     208387.000   -2267118.530    5009704.661    3221082.459        100.206     32
2394     208388.000   -2267117.338    5009706.512    3221082.859         54.387     32
2394     208389.000   -2267116.705    5009705.580    3221082.214         47.451     32
2394     208390.000   -2267114.344    5009704.187    3221082.150         47.515     32
2394     208391.000   -2267102.193    5009701.991    3221065.084         40.328     32
2394     208392.000   -2267097.572    5009701.389    3221061.541        112.485     33
2394     208393.000   -2267095.601    5009701.866    3221063.169         33.665     33
2394     208394.000   -2267093.991    5009700.958    3221063.958         26.366     33
2394     208395.000   -2267090.228    5009699.045    3221063.353          9.713     33
2394     208396.000   -2267087.799    5009697.801    3221063.408         21.260     33
2394     208397.000   -2267085.070    5009696.749    3221062.348        101.378     33
2394     208398.000   -2267081.338    5009696.121    3221058.720         16.765     33
2394     208399.000   -2267077.085    5009693.245    3221055.519          1.936     33
2394     208400.000   -2267076.849    5009692.634    3221056.632         -6.170     33
2394     208401.000   -2267077.237    5009692.112    3221058.990        -11.875     33
2394     208402.000   -2267075.428    5009689.574    3221059.352         77.368     33
2394     208403.000   -2267075.840    5009688.993    3221058.702         14.096     33
2394     208404.000   -2267075.369    5009688.097    3221057.764         15.860     33
2394     208405.000   -2267075.312    5009686.203    3221055.438         -0.151     33
2394     208406.000   -2267076.338    5009685.354    3221055.140          3.797     33
2394     208407.000   -2267078.352    5009685.270    3221054.089         90.032     33
2394     208408.000   -2267079.783    5009684.951    3221053.071         -0.586     33
2394     208409.000   -2267082.481    5009686.812    3221053.101         15.407     33
2394     208410.000   -2267084.092    5009688.612    3221052.345         25.425     33
2394     208411.000   -2267086.930    5009688.782    3221052.245        -12.647     33
2394     208412.000   -2267089.218    5009688.872    3221052.379         55.634     33
2394     208413.000   -2267090.575    5009688.306    3221052.208         -9.470     33
